route_id,direction_id,direction,direction_destination
Shuttle-HarvardJFKOmitCongress,0,South,Ashmont/Braintree
Shuttle-HarvardJFKOmitCongress,1,North,Alewife
Shuttle-HarvardKendall,0,South,Ashmont/Braintree
Shuttle-HarvardKendall,1,North,Alewife
Shuttle-HarvardPark,0,South,Ashmont/Braintree
Shuttle-HarvardPark,1,North,Alewife
Shuttle-HarvardSouthStation,0,South,Ashmont/Braintree
Shuttle-HarvardSouthStation,1,North,Alewife
Shuttle-HaverhillLawrence,0,Outbound,Haverhill
Shuttle-HaverhillLawrence,1,Inbound,North Station
Shuttle-HaverhillMaldenCenter,0,Outbound,Haverhill
Shuttle-HaverhillMaldenCenter,1,Inbound,North Station
Shuttle-HaverhillNorthStation,0,Outbound,Haverhill
Shuttle-HaverhillNorthStation,1,Inbound,North Station
Shuttle-HaverhillReadingExpress,0,Outbound,Haverhill
Shuttle-HaverhillReadingExpress,1,Inbound,North Station
Shuttle-HaverhillReadingLocal,0,Outbound,Haverhill
Shuttle-HaverhillReadingLocal,1,Inbound,North Station
Shuttle-HeathPark,0,West,Heath Street
Shuttle-HeathPark,1,East,Medford/Tufts
Shuttle-HeathPrudential,0,West,Heath Street
Shuttle-HeathPrudential,1,East,Medford/Tufts
Shuttle-JFKKendall,0,South,Ashmont/Braintree
Shuttle-JFKKendall,1,North,Alewife
Shuttle-JFKNorthQuincy,0,South,Braintree
Shuttle-JFKNorthQuincy,1,North,Alewife
Shuttle-JFKPark,0,South,Ashmont/Braintree
Shuttle-JFKPark,1,North,Alewife
Shuttle-JFKParkStreetViaPostOffice,0,South,Ashmont/Braintree
Shuttle-JFKParkStreetViaPostOffice,1,North,Alewife
Shuttle-KendallPark,0,South,Ashmont/Braintree
Shuttle-KendallPark,1,North,Alewife
Shuttle-KenmoreReservoir,0,West,Riverside
Shuttle-KenmoreReservoir,1,East,Union Square
Shuttle-KenmoreRiverside,0,West,Riverside
Shuttle-KenmoreRiverside,1,East,Union Square
Shuttle-KenmoreStMarysNotFenway,0,West,Cleveland Circle
Shuttle-KenmoreStMarysNotFenway,1,East,Government Center
Shuttle-KenmoreStMarysRiverside,0,West,Riverside
Shuttle-KenmoreStMarysRiverside,1,East,Union Square
Shuttle-KenmoreWashington,0,West,Boston College
Shuttle-KenmoreWashington,1,East,Government Center
Shuttle-LechmereNorthStation,0,West,North Station
Shuttle-LechmereNorthStation,1,East,Lechmere & North
Shuttle-LittletonWachusett,0,Outbound,Wachusett
Shuttle-LittletonWachusett,1,Inbound,North Station
Shuttle-LowellWilmington,0,Outbound,Lowell
